Location,Common Fish Species,Accessibility,Fishing Regulations,Popularity,Latitude,Longitude
Tannirbhavi Beach,"Bangus, Catfish, Silver Barb",Easy,Fishing license required,High,12.89626555,74.81280215
Netravathi River,"Climbing Perch, Mullet, Pangasius",Moderate,No fishing restrictions,Medium,12.9294,75.6935
Someshwar Beach,"Tilapia, Silver Carp, Snakehead",Easy,No fishing allowed,Low,12.8604,74.8335
Gurupura River,"Catfish, Silver Barb, Goby",Difficult,Special permit required,High,13.005679,75.0304308
Sasihitlu Beach,"Mudfish, Pangasius, Glass Perchlet",Easy,No fishing restrictions,High,13.0685873,74.77717724
Panambur Beach,"Bangus, Tilapia, Silver Carp",Easy,Fishing license required,High,12.93849555,74.80397843
Surathkal Beach,"Catfish, Climbing Perch, Silver Barb",Easy,No fishing allowed,Low,12.9994746,74.79128488
Ullal Beach,"Mullet, Pangasius, Glass Perchlet",Moderate,No fishing restrictions,Medium,12.81144575,74.84072817
Sultan Battery,"Bangus, Silver Barb, Snakehead",Easy,Fishing license required,High,12.88962995,74.82124456
Bengre Beach,"Tilapia, Climbing Perch, Silver Carp",Moderate,No fishing allowed,Low,13.0451,74.8262
Mangala Reservoir,"Catfish, Silver Carp, Goby",Easy,Fishing license required,High,13.6781864,79.34318824
Nethravathi Bridge,"Mullet, Pangasius, Mudfish",Moderate,No fishing restrictions,Medium,12.8302973,74.8602582
Sultan Battery Park,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low,12.8899,74.8142
Sultan Battery Lagoon,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.8899,74.8142
Gurupura River Bank,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High,13.005679,75.0304308
Malpe Beach,"Bangus, Tilapia, Silver Carp",Easy,Fishing license required,High,13.3618485,74.69787586
Padukere Beach,"Catfish, Climbing Perch, Silver Barb",Easy,No fishing allowed,Low,13.0529,74.6949
Hoode Beach,"Mullet, Pangasius, Glass Perchlet",Moderate,No fishing restrictions,Medium,13.4079024,74.69707555
Kapu Beach,"Bangus, Catfish, Silver Carp",Easy,Fishing license required,High,13.2186902,74.73885076
Kodi Bengre Beach,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing allowed,Low,13.0421,74.8412
Pithrodi Beach,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.9054,74.7992
Chitrapu Beach,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low,13.0501,74.7183
Mulki Beach,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,13.0901,74.7994
Kotepura Reservoir,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.9976,74.8914
Polali Beach,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low,12.9496,74.9925
Kuloor Lake,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.8894,74.8538
Pavanje Reservoir,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High,13.1156,74.9333
Pavanje River,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low,13.0405,74.8917
Mangaladevi Temple Pond,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.8681,74.8457
Kadri Park Lake,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.8747,74.8417
Kadri Park Pond,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low,12.8747,74.8417
Puduvettu Lake,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.9542,74.8396
Puduvettu River,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.9903,74.8395
Maravoor Lake,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low,12.9639,74.8568
Maravoor River,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.9639,74.8568
Pachanady Lake,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.9785,74.8757
Pachanady River,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low,12.9785,74.8757
Bajpe Lake,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.9333,74.85
Bajpe River,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.9121,74.9042
Moodushedde Lake,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low,12.874,74.8249
Moodushedde River,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.8768,74.8233
Bajal Lake,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.9032,74.8089
Bajal River,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low,12.8999,74.8106
Jeppinamogaru Lake,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.9151,74.8219
Jeppinamogaru River,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.9125,74.8207
Jeppu Lake,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low,12.8825,74.8492
Jeppu River,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.8843,74.848
Kadri Lake,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.8766,74.8459
Kadri River,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low,12.8769,74.8447
Pajeer Lake,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.8841,74.8283
Pajeer River,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.8848,74.8272
Badaga Lake,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low,12.922,74.8023
Badaga River,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.9207,74.8045
Adyapady Lake,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.8584,74.8419
Adyapady River,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low,12.8593,74.841
Kaikamba Lake,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.8715,74.9479
Surinje Lake,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low,12.8719,74.9329
Surinje River,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.8741,74.9318
Pudukur Lake,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.8293,74.8423
Pudukur River,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low,12.831,74.8417
Hosabettu Lake,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.8712,74.8376
Hosabettu River,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.8725,74.8371
Kudupu Lake,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low,12.8713,74.8478
Kudupu River,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.8718,74.8468
Derebail Lake,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.9027,74.8446
Derebail River,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low,12.9036,74.8429
Maroli Lake,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.9118,74.884
Maroli River,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.9122,74.8829
Hosabettu Lake,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low,12.8712,74.8376
Hosabettu River,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.8725,74.8371
Pakshikere Lake,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.8212,74.8491
Pakshikere River,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low,12.8221,74.8477
Kaup Lake,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,13.4229,74.6933
Kaup River,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High,13.4221,74.6884
Kinnigoli Lake,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low,12.9905,74.9786
Kinnigoli River,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.9858,74.9766
Adyapady Lake,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.8584,74.8419
Adyapady River,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low,12.8593,74.841
Vamanjoor Lake,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.9686,74.9531
Vamanjoor River,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.973,74.9465
Jokatte Lake,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low,12.9487,74.8976
Jokatte River,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.9437,74.8965
Kulur Lake,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.8618,74.8863
Kulur River,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low,12.8597,74.8865
Boloor Lake,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.8671,74.8444
Boloor River,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.868,74.8432
Kannur Lake,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low,12.8977,74.8517
Kannur River,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.8965,74.8503
Kavoor Lake,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.9314,74.8683
Kavoor River,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low,12.9298,74.8675
Bajpe Lake,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium,12.8728,74.9027
Bajpe River,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High,12.8745,74.9031
